cancer	subtype	gene	AYA_mut	AYA_wt	OA_mut	OA_wt	AYA_mut_ratio	OA_mut_ratio	Diff_AYA_OA	Higher_in_AYA	P
Myeloid tumor	AML	SRSF2	1	262	3	1362	0.003802	0.002198	0.001604	1	fisher.test(matrix(c(1,262,3,1362),nrow=2))$p.value
Myeloid tumor	AML	KRAS	0	323	2	1745	0.000000	0.001145	0.001145	0	fisher.test(matrix(c(0,323,2,1745),nrow=2))$p.value
Myeloid tumor	AML	MYD88	0	262	0	1346	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,262,0,1346),nrow=2))$p.value
Myeloid tumor	AML	NCOA3	0	61	0	153	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,61,0,153),nrow=2))$p.value
Myeloid tumor	AML	TRAF7	0	80	0	273	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,80,0,273),nrow=2))$p.value
Myeloid tumor	AML	ERCC4	0	74	0	433	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,74,0,433),nrow=2))$p.value
Myeloid tumor	AML	ERRFI1	0	61	0	153	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,61,0,153),nrow=2))$p.value
Myeloid tumor	AML	RAD51B	0	7	0	47	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,7,0,47),nrow=2))$p.value
Myeloid tumor	AML	PPP2R1A	0	82	1	277	0.000000	0.003597	0.003597	0	fisher.test(matrix(c(0,82,1,277),nrow=2))$p.value
Myeloid tumor	AML	HIST1H3B	0	83	0	279	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,83,0,279),nrow=2))$p.value
Myeloid tumor	AML	IL7R	1	98	1	299	0.010101	0.003333	0.006768	1	fisher.test(matrix(c(1,98,1,299),nrow=2))$p.value
Myeloid tumor	AML	HIST1H1C	0	39	0	194	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,39,0,194),nrow=2))$p.value
Myeloid tumor	AML	DAXX	0	64	0	275	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,64,0,275),nrow=2))$p.value
Myeloid tumor	AML	LATS2	0	5	0	42	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,5,0,42),nrow=2))$p.value
Myeloid tumor	AML	GNA11	0	164	3	821	0.000000	0.003641	0.003641	0	fisher.test(matrix(c(0,164,3,821),nrow=2))$p.value
Myeloid tumor	AML	AKT1	0	164	2	822	0.000000	0.002427	0.002427	0	fisher.test(matrix(c(0,164,2,822),nrow=2))$p.value
Myeloid tumor	AML	PARP1	0	39	0	194	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,39,0,194),nrow=2))$p.value
Myeloid tumor	AML	BBC3	0	5	0	42	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,5,0,42),nrow=2))$p.value
Myeloid tumor	AML	NFE2L2	0	105	1	464	0.000000	0.002151	0.002151	0	fisher.test(matrix(c(0,105,1,464),nrow=2))$p.value
Myeloid tumor	AML	DDR2	2	104	5	461	0.018868	0.010730	0.008138	1	fisher.test(matrix(c(2,104,5,461),nrow=2))$p.value
Myeloid tumor	AML	ARID5B	0	34	0	52	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,34,0,52),nrow=2))$p.value
Myeloid tumor	AML	STAG2	0	177	1	939	0.000000	0.001064	0.001064	0	fisher.test(matrix(c(0,177,1,939),nrow=2))$p.value
Myeloid tumor	AML	PRDM1	0	104	0	443	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,104,0,443),nrow=2))$p.value
Myeloid tumor	AML	GRIN2A	0	68	0	221	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,68,0,221),nrow=2))$p.value
Myeloid tumor	AML	GSK3B	0	67	0	199	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,67,0,199),nrow=2))$p.value
Myeloid tumor	AML	FOXL2	0	82	1	277	0.000000	0.003597	0.003597	0	fisher.test(matrix(c(0,82,1,277),nrow=2))$p.value
Myeloid tumor	AML	HIST2H3D	0	1	0	1	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,1,0,1),nrow=2))$p.value
Myeloid tumor	AML	ETV1	0	75	0	433	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,75,0,433),nrow=2))$p.value
Myeloid tumor	AML	MAP3K1	0	105	1	464	0.000000	0.002151	0.002151	0	fisher.test(matrix(c(0,105,1,464),nrow=2))$p.value
Myeloid tumor	AML	RAC1	0	81	0	274	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,81,0,274),nrow=2))$p.value
Myeloid tumor	AML	SOX9	1	101	1	437	0.009804	0.002283	0.007521	1	fisher.test(matrix(c(1,101,1,437),nrow=2))$p.value
Myeloid tumor	AML	SMAD3	0	65	0	194	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,65,0,194),nrow=2))$p.value
Myeloid tumor	AML	MAP3K14	0	36	0	175	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,36,0,175),nrow=2))$p.value
Myeloid tumor	AML	FANCC	0	104	1	442	0.000000	0.002257	0.002257	0	fisher.test(matrix(c(0,104,1,442),nrow=2))$p.value
Myeloid tumor	AML	SPOP	0	82	0	279	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,82,0,279),nrow=2))$p.value
Myeloid tumor	AML	HIST1H3A	0	1	0	1	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,1,0,1),nrow=2))$p.value
Myeloid tumor	AML	PTPRD	0	81	0	276	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,81,0,276),nrow=2))$p.value
Myeloid tumor	AML	FGF19	0	67	0	200	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,67,0,200),nrow=2))$p.value
Myeloid tumor	AML	SMAD4	0	164	2	822	0.000000	0.002427	0.002427	0	fisher.test(matrix(c(0,164,2,822),nrow=2))$p.value
Myeloid tumor	AML	CCND1	0	100	8	394	0.000000	0.019900	0.019900	0	fisher.test(matrix(c(0,100,8,394),nrow=2))$p.value
Myeloid tumor	AML	PMS1	0	102	1	437	0.000000	0.002283	0.002283	0	fisher.test(matrix(c(0,102,1,437),nrow=2))$p.value
Myeloid tumor	AML	CDKN1A	0	102	0	438	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,102,0,438),nrow=2))$p.value
Myeloid tumor	AML	SPEN	0	68	0	222	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,68,0,222),nrow=2))$p.value
Myeloid tumor	AML	RAF1	0	106	1	465	0.000000	0.002146	0.002146	0	fisher.test(matrix(c(0,106,1,465),nrow=2))$p.value
Myeloid tumor	AML	CCNE1	0	104	3	440	0.000000	0.006772	0.006772	0	fisher.test(matrix(c(0,104,3,440),nrow=2))$p.value
Myeloid tumor	AML	IFNGR1	0	5	0	42	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,5,0,42),nrow=2))$p.value
Myeloid tumor	AML	PDPK1	0	16	0	49	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,16,0,49),nrow=2))$p.value
Myeloid tumor	AML	YES1	0	5	0	42	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,5,0,42),nrow=2))$p.value
Myeloid tumor	AML	ERCC2	0	103	4	434	0.000000	0.009132	0.009132	0	fisher.test(matrix(c(0,103,4,434),nrow=2))$p.value
Myeloid tumor	AML	CARD11	0	105	0	465	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,105,0,465),nrow=2))$p.value
Myeloid tumor	AML	SOX2	0	104	4	439	0.000000	0.009029	0.009029	0	fisher.test(matrix(c(0,104,4,439),nrow=2))$p.value
Myeloid tumor	AML	MAPK3	0	2	0	6	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,2,0,6),nrow=2))$p.value
Myeloid tumor	AML	XRCC2	0	48	0	227	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,48,0,227),nrow=2))$p.value
Myeloid tumor	AML	ESR1	0	121	0	467	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,121,0,467),nrow=2))$p.value
Myeloid tumor	AML	MALT1	0	35	0	153	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,35,0,153),nrow=2))$p.value
Myeloid tumor	AML	SETD2	0	120	0	443	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,120,0,443),nrow=2))$p.value
Myeloid tumor	AML	INHA	0	1	0	1	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,1,0,1),nrow=2))$p.value
Myeloid tumor	AML	GATA1	0	139	0	674	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,139,0,674),nrow=2))$p.value
Myeloid tumor	AML	NOTCH3	0	82	1	277	0.000000	0.003597	0.003597	0	fisher.test(matrix(c(0,82,1,277),nrow=2))$p.value
Myeloid tumor	AML	MSH6	0	121	2	463	0.000000	0.004301	0.004301	0	fisher.test(matrix(c(0,121,2,463),nrow=2))$p.value
Myeloid tumor	AML	AXIN2	0	80	0	273	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,80,0,273),nrow=2))$p.value
Myeloid tumor	AML	PAX5	0	120	3	442	0.000000	0.006742	0.006742	0	fisher.test(matrix(c(0,120,3,442),nrow=2))$p.value
Myeloid tumor	AML	PTPRT	0	65	0	194	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,65,0,194),nrow=2))$p.value
Myeloid tumor	AML	CD274	0	104	3	440	0.000000	0.006772	0.006772	0	fisher.test(matrix(c(0,104,3,440),nrow=2))$p.value
Myeloid tumor	AML	MDM4	2	102	5	439	0.019231	0.011261	0.007970	1	fisher.test(matrix(c(2,102,5,439),nrow=2))$p.value
Myeloid tumor	AML	BLM	0	105	4	462	0.000000	0.008584	0.008584	0	fisher.test(matrix(c(0,105,4,462),nrow=2))$p.value
Myeloid tumor	AML	NOTCH1	0	236	4	1317	0.000000	0.003028	0.003028	0	fisher.test(matrix(c(0,236,4,1317),nrow=2))$p.value
Myeloid tumor	AML	SMARCB1	1	162	7	816	0.006135	0.008505	0.002370	0	fisher.test(matrix(c(1,162,7,816),nrow=2))$p.value
Myeloid tumor	AML	PIK3R1	0	120	0	443	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,120,0,443),nrow=2))$p.value
Myeloid tumor	AML	CHEK1	0	82	8	270	0.000000	0.028777	0.028777	0	fisher.test(matrix(c(0,82,8,270),nrow=2))$p.value
Myeloid tumor	AML	ATM	0	164	14	831	0.000000	0.016568	0.016568	0	fisher.test(matrix(c(0,164,14,831),nrow=2))$p.value
Myeloid tumor	AML	FGFR1	5	160	25	821	0.030303	0.029551	0.000752	1	fisher.test(matrix(c(5,160,25,821),nrow=2))$p.value
Myeloid tumor	AML	MLH1	0	164	0	845	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,164,0,845),nrow=2))$p.value
Myeloid tumor	AML	TCF7L2	0	98	4	393	0.000000	0.010076	0.010076	0	fisher.test(matrix(c(0,98,4,393),nrow=2))$p.value
Myeloid tumor	AML	BMPR1A	0	84	4	431	0.000000	0.009195	0.009195	0	fisher.test(matrix(c(0,84,4,431),nrow=2))$p.value
Myeloid tumor	AML	VHL	0	163	1	823	0.000000	0.001214	0.001214	0	fisher.test(matrix(c(0,163,1,823),nrow=2))$p.value
Myeloid tumor	AML	MAX	0	30	1	122	0.000000	0.008130	0.008130	0	fisher.test(matrix(c(0,30,1,122),nrow=2))$p.value
Myeloid tumor	AML	RARA	1	103	1	442	0.009615	0.002257	0.007358	1	fisher.test(matrix(c(1,103,1,442),nrow=2))$p.value
Myeloid tumor	AML	PDCD1	0	39	0	194	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,39,0,194),nrow=2))$p.value
Myeloid tumor	AML	SMAD2	0	104	2	441	0.000000	0.004515	0.004515	0	fisher.test(matrix(c(0,104,2,441),nrow=2))$p.value
Myeloid tumor	AML	H3F3B	0	76	0	232	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,76,0,232),nrow=2))$p.value
Myeloid tumor	AML	FGF3	0	67	0	199	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,67,0,199),nrow=2))$p.value
Myeloid tumor	AML	TNFRSF14	0	67	0	199	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,67,0,199),nrow=2))$p.value
Myeloid tumor	AML	ERCC3	0	74	1	432	0.000000	0.002309	0.002309	0	fisher.test(matrix(c(0,74,1,432),nrow=2))$p.value
Myeloid tumor	AML	BTK	0	67	0	199	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,67,0,199),nrow=2))$p.value
Myeloid tumor	AML	RAD52	0	22	1	125	0.000000	0.007937	0.007937	0	fisher.test(matrix(c(0,22,1,125),nrow=2))$p.value
Myeloid tumor	AML	KDM5C	0	98	0	360	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,98,0,360),nrow=2))$p.value
Myeloid tumor	AML	BRCA1	1	104	2	463	0.009524	0.004301	0.005223	1	fisher.test(matrix(c(1,104,2,463),nrow=2))$p.value
Myeloid tumor	AML	MTOR	0	105	3	462	0.000000	0.006452	0.006452	0	fisher.test(matrix(c(0,105,3,462),nrow=2))$p.value
Myeloid tumor	AML	PIK3CG	0	68	0	221	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,68,0,221),nrow=2))$p.value
Myeloid tumor	AML	RPS6KB2	0	5	0	42	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,5,0,42),nrow=2))$p.value
Myeloid tumor	AML	RNF43	0	83	0	300	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,83,0,300),nrow=2))$p.value
Myeloid tumor	AML	PIK3CB	0	37	0	190	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,37,0,190),nrow=2))$p.value
Myeloid tumor	AML	CDK4	0	104	3	440	0.000000	0.006772	0.006772	0	fisher.test(matrix(c(0,104,3,440),nrow=2))$p.value
Myeloid tumor	AML	AXL	0	105	3	463	0.000000	0.006438	0.006438	0	fisher.test(matrix(c(0,105,3,463),nrow=2))$p.value
Myeloid tumor	AML	TRAF2	0	35	0	153	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,35,0,153),nrow=2))$p.value
Myeloid tumor	AML	FLCN	0	105	1	464	0.000000	0.002151	0.002151	0	fisher.test(matrix(c(0,105,1,464),nrow=2))$p.value
Myeloid tumor	AML	ERG	2	112	10	350	0.017544	0.027778	0.010234	0	fisher.test(matrix(c(2,112,10,350),nrow=2))$p.value
Myeloid tumor	AML	HIST1H3H	0	1	0	1	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,1,0,1),nrow=2))$p.value
Myeloid tumor	AML	PBRM1	0	99	0	384	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,99,0,384),nrow=2))$p.value
Myeloid tumor	AML	FGFR3	1	164	4	842	0.006061	0.004728	0.001332	1	fisher.test(matrix(c(1,164,4,842),nrow=2))$p.value
Myeloid tumor	AML	NSD1	0	95	0	259	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,95,0,259),nrow=2))$p.value
Myeloid tumor	AML	TCF3	0	92	3	452	0.000000	0.006593	0.006593	0	fisher.test(matrix(c(0,92,3,452),nrow=2))$p.value
Myeloid tumor	AML	STK40	0	5	0	42	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,5,0,42),nrow=2))$p.value
Myeloid tumor	AML	KMT2D	0	121	3	463	0.000000	0.006438	0.006438	0	fisher.test(matrix(c(0,121,3,463),nrow=2))$p.value
Myeloid tumor	AML	BIRC3	0	35	0	153	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,35,0,153),nrow=2))$p.value
Myeloid tumor	AML	FOXP1	0	63	0	158	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,63,0,158),nrow=2))$p.value
Myeloid tumor	AML	REL	0	104	1	442	0.000000	0.002257	0.002257	0	fisher.test(matrix(c(0,104,1,442),nrow=2))$p.value
Myeloid tumor	AML	RICTOR	1	81	1	277	0.012195	0.003597	0.008598	1	fisher.test(matrix(c(1,81,1,277),nrow=2))$p.value
Myeloid tumor	AML	ERCC5	0	74	5	428	0.000000	0.011547	0.011547	0	fisher.test(matrix(c(0,74,5,428),nrow=2))$p.value
Myeloid tumor	AML	MST1R	0	33	0	148	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,33,0,148),nrow=2))$p.value
Myeloid tumor	AML	CTLA4	0	20	0	121	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,20,0,121),nrow=2))$p.value
Myeloid tumor	AML	RBM10	0	80	0	273	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,80,0,273),nrow=2))$p.value
Myeloid tumor	AML	CDKN2C	0	104	5	438	0.000000	0.011287	0.011287	0	fisher.test(matrix(c(0,104,5,438),nrow=2))$p.value
Myeloid tumor	AML	DICER1	0	102	1	437	0.000000	0.002283	0.002283	0	fisher.test(matrix(c(0,102,1,437),nrow=2))$p.value
Myeloid tumor	AML	ALOX12B	0	29	0	212	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,29,0,212),nrow=2))$p.value
Myeloid tumor	AML	CUL3	0	65	0	194	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,65,0,194),nrow=2))$p.value
Myeloid tumor	AML	RIT1	1	79	1	272	0.012500	0.003663	0.008837	1	fisher.test(matrix(c(1,79,1,272),nrow=2))$p.value
Myeloid tumor	AML	ID3	0	104	2	441	0.000000	0.004515	0.004515	0	fisher.test(matrix(c(0,104,2,441),nrow=2))$p.value
Myeloid tumor	AML	RHOA	0	82	0	278	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,82,0,278),nrow=2))$p.value
Myeloid tumor	AML	FOXA1	0	80	1	272	0.000000	0.003663	0.003663	0	fisher.test(matrix(c(0,80,1,272),nrow=2))$p.value
Myeloid tumor	AML	FAT1	0	81	1	277	0.000000	0.003597	0.003597	0	fisher.test(matrix(c(0,81,1,277),nrow=2))$p.value
Myeloid tumor	AML	GNAQ	0	164	1	823	0.000000	0.001214	0.001214	0	fisher.test(matrix(c(0,164,1,823),nrow=2))$p.value
Myeloid tumor	AML	RECQL4	5	73	24	328	0.064103	0.068182	0.004079	0	fisher.test(matrix(c(5,73,24,328),nrow=2))$p.value
Myeloid tumor	AML	MAPK1	1	104	7	458	0.009524	0.015054	0.005530	0	fisher.test(matrix(c(1,104,7,458),nrow=2))$p.value
Myeloid tumor	AML	EPHA5	1	88	1	363	0.011236	0.002747	0.008489	1	fisher.test(matrix(c(1,88,1,363),nrow=2))$p.value
Myeloid tumor	AML	FLT4	0	105	4	461	0.000000	0.008602	0.008602	0	fisher.test(matrix(c(0,105,4,461),nrow=2))$p.value
Myeloid tumor	AML	ERBB4	0	165	1	845	0.000000	0.001182	0.001182	0	fisher.test(matrix(c(0,165,1,845),nrow=2))$p.value
Myeloid tumor	AML	AURKA	0	104	4	439	0.000000	0.009029	0.009029	0	fisher.test(matrix(c(0,104,4,439),nrow=2))$p.value
Myeloid tumor	AML	SDHC	2	84	5	436	0.023256	0.011338	0.011918	1	fisher.test(matrix(c(2,84,5,436),nrow=2))$p.value
Myeloid tumor	AML	HIST1H3C	0	26	0	82	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,26,0,82),nrow=2))$p.value
Myeloid tumor	AML	HNF1A	0	164	3	842	0.000000	0.003550	0.003550	0	fisher.test(matrix(c(0,164,3,842),nrow=2))$p.value
Myeloid tumor	AML	NUP93	0	62	0	153	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,62,0,153),nrow=2))$p.value
Myeloid tumor	AML	GNAS	0	221	3	1319	0.000000	0.002269	0.002269	0	fisher.test(matrix(c(0,221,3,1319),nrow=2))$p.value
Myeloid tumor	AML	PPM1D	0	44	0	85	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,44,0,85),nrow=2))$p.value
Myeloid tumor	AML	CDH1	0	164	0	845	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,164,0,845),nrow=2))$p.value
Myeloid tumor	AML	BRIP1	1	104	1	465	0.009524	0.002146	0.007378	1	fisher.test(matrix(c(1,104,1,465),nrow=2))$p.value
Myeloid tumor	AML	CDKN2B	0	120	3	440	0.000000	0.006772	0.006772	0	fisher.test(matrix(c(0,120,3,440),nrow=2))$p.value
Myeloid tumor	AML	NTRK1	2	104	5	462	0.018868	0.010707	0.008161	1	fisher.test(matrix(c(2,104,5,462),nrow=2))$p.value
Myeloid tumor	AML	MUTYH	0	105	4	461	0.000000	0.008602	0.008602	0	fisher.test(matrix(c(0,105,4,461),nrow=2))$p.value
Myeloid tumor	AML	RYBP	0	5	0	42	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,5,0,42),nrow=2))$p.value
Myeloid tumor	AML	PDGFRA	1	234	2	1311	0.004255	0.001523	0.002732	1	fisher.test(matrix(c(1,234,2,1311),nrow=2))$p.value
Myeloid tumor	AML	RFWD2	0	27	0	207	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,27,0,207),nrow=2))$p.value
Myeloid tumor	AML	EP300	1	120	6	459	0.008264	0.012903	0.004639	0	fisher.test(matrix(c(1,120,6,459),nrow=2))$p.value
Myeloid tumor	AML	DCUN1D1	0	5	0	42	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,5,0,42),nrow=2))$p.value
Myeloid tumor	AML	TSC2	0	105	1	464	0.000000	0.002151	0.002151	0	fisher.test(matrix(c(0,105,1,464),nrow=2))$p.value
Myeloid tumor	AML	IRS2	0	68	0	221	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,68,0,221),nrow=2))$p.value
Myeloid tumor	AML	PAK7	0	7	0	47	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,7,0,47),nrow=2))$p.value
Myeloid tumor	AML	ZFHX3	0	29	0	6	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,29,0,6),nrow=2))$p.value
Myeloid tumor	AML	ROS1	0	105	2	464	0.000000	0.004292	0.004292	0	fisher.test(matrix(c(0,105,2,464),nrow=2))$p.value
Myeloid tumor	AML	TGFBR2	0	67	0	199	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,67,0,199),nrow=2))$p.value
Myeloid tumor	AML	RAD54L	0	7	0	47	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,7,0,47),nrow=2))$p.value
