cancer	gene	AYA_mut	AYA_wt	OA_mut	OA_wt	AYA_mut_ratio	OA_mut_ratio	Diff_AYA_OA	Higher_in_AYA	P
Myeloid tumor	FOXL2	0	134	1	715	0.000000	0.001397	0.001397	0	fisher.test(matrix(c(0,134,1,715),nrow=2))$p.value
Myeloid tumor	CUX1	0	252	4	1930	0.000000	0.002068	0.002068	0	fisher.test(matrix(c(0,252,4,1930),nrow=2))$p.value
Myeloid tumor	MAP3K1	0	169	1	1047	0.000000	0.000954	0.000954	0	fisher.test(matrix(c(0,169,1,1047),nrow=2))$p.value
Myeloid tumor	MAP3K14	0	74	0	539	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,74,0,539),nrow=2))$p.value
Myeloid tumor	NT5C2	0	154	5	728	0.000000	0.006821	0.006821	0	fisher.test(matrix(c(0,154,5,728),nrow=2))$p.value
Myeloid tumor	JARID2	0	71	0	536	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,71,0,536),nrow=2))$p.value
Myeloid tumor	FANCC	0	168	1	1025	0.000000	0.000975	0.000975	0	fisher.test(matrix(c(0,168,1,1025),nrow=2))$p.value
Myeloid tumor	SPOP	0	134	0	717	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,134,0,717),nrow=2))$p.value
Myeloid tumor	EP400	0	69	0	513	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,69,0,513),nrow=2))$p.value
Myeloid tumor	FGF19	0	114	0	588	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,114,0,588),nrow=2))$p.value
Myeloid tumor	SMAD4	0	244	2	1553	0.000000	0.001286	0.001286	0	fisher.test(matrix(c(0,244,2,1553),nrow=2))$p.value
Myeloid tumor	CCND1	0	164	8	970	0.000000	0.008180	0.008180	0	fisher.test(matrix(c(0,164,8,970),nrow=2))$p.value
Myeloid tumor	SPEN	0	116	0	609	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,116,0,609),nrow=2))$p.value
Myeloid tumor	RAF1	0	170	1	1052	0.000000	0.000950	0.000950	0	fisher.test(matrix(c(0,170,1,1052),nrow=2))$p.value
Myeloid tumor	CCNE1	0	168	5	1022	0.000000	0.004869	0.004869	0	fisher.test(matrix(c(0,168,5,1022),nrow=2))$p.value
Myeloid tumor	IRF1	0	75	0	562	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,75,0,562),nrow=2))$p.value
Myeloid tumor	PDPK1	0	40	0	143	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,40,0,143),nrow=2))$p.value
Myeloid tumor	CARD11	1	168	1	1047	0.005917	0.000954	0.004963	1	fisher.test(matrix(c(1,168,1,1047),nrow=2))$p.value
Myeloid tumor	SOX2	0	168	7	1019	0.000000	0.006823	0.006823	0	fisher.test(matrix(c(0,168,7,1019),nrow=2))$p.value
Myeloid tumor	HIST1H2AC	0	70	0	513	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,70,0,513),nrow=2))$p.value
Myeloid tumor	MAPK3	0	18	0	80	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,18,0,80),nrow=2))$p.value
Myeloid tumor	ESR1	0	191	0	1051	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,191,0,1051),nrow=2))$p.value
Myeloid tumor	MALT1	0	74	0	517	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,74,0,517),nrow=2))$p.value
Myeloid tumor	P2RY8	0	72	0	535	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,72,0,535),nrow=2))$p.value
Myeloid tumor	SETD2	0	190	0	1027	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,190,0,1027),nrow=2))$p.value
Myeloid tumor	GATA1	0	227	0	1524	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,227,0,1524),nrow=2))$p.value
Myeloid tumor	NOTCH3	0	134	2	714	0.000000	0.002793	0.002793	0	fisher.test(matrix(c(0,134,2,714),nrow=2))$p.value
Myeloid tumor	MSH6	0	191	3	1046	0.000000	0.002860	0.002860	0	fisher.test(matrix(c(0,191,3,1046),nrow=2))$p.value
Myeloid tumor	CRBN	0	70	0	513	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,70,0,513),nrow=2))$p.value
Myeloid tumor	PAX5	0	191	3	1033	0.000000	0.002896	0.002896	0	fisher.test(matrix(c(0,191,3,1033),nrow=2))$p.value
Myeloid tumor	CD274	0	168	3	1023	0.000000	0.002924	0.002924	0	fisher.test(matrix(c(0,168,3,1023),nrow=2))$p.value
Myeloid tumor	MDM4	2	166	7	1021	0.011905	0.006809	0.005095	1	fisher.test(matrix(c(2,166,7,1021),nrow=2))$p.value
Myeloid tumor	BLM	0	169	4	1045	0.000000	0.003813	0.003813	0	fisher.test(matrix(c(0,169,4,1045),nrow=2))$p.value
Myeloid tumor	GNA13	0	113	0	605	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,113,0,605),nrow=2))$p.value
Myeloid tumor	NOTCH1	0	356	4	2508	0.000000	0.001592	0.001592	0	fisher.test(matrix(c(0,356,4,2508),nrow=2))$p.value
Myeloid tumor	SMARCB1	2	241	9	1542	0.008230	0.005803	0.002428	1	fisher.test(matrix(c(2,241,9,1542),nrow=2))$p.value
Myeloid tumor	CIITA	1	127	2	1000	0.007812	0.001996	0.005816	1	fisher.test(matrix(c(1,127,2,1000),nrow=2))$p.value
Myeloid tumor	PIK3R1	0	190	0	1027	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,190,0,1027),nrow=2))$p.value
Myeloid tumor	HIST1H2AG	0	70	0	513	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,70,0,513),nrow=2))$p.value
Myeloid tumor	CHEK1	0	134	9	707	0.000000	0.012570	0.012570	0	fisher.test(matrix(c(0,134,9,707),nrow=2))$p.value
Myeloid tumor	ATM	0	244	15	1558	0.000000	0.009536	0.009536	0	fisher.test(matrix(c(0,244,15,1558),nrow=2))$p.value
Myeloid tumor	FGFR1	5	240	30	1547	0.020408	0.019023	0.001385	1	fisher.test(matrix(c(5,240,30,1547),nrow=2))$p.value
Myeloid tumor	MLH1	0	244	0	1573	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,244,0,1573),nrow=2))$p.value
Myeloid tumor	HDAC1	0	71	0	513	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,71,0,513),nrow=2))$p.value
Myeloid tumor	VHL	0	243	1	1550	0.000000	0.000645	0.000645	0	fisher.test(matrix(c(0,243,1,1550),nrow=2))$p.value
Myeloid tumor	ARID3A	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
Myeloid tumor	RARA	1	167	2	1024	0.005952	0.001949	0.004003	1	fisher.test(matrix(c(1,167,2,1024),nrow=2))$p.value
Myeloid tumor	PDCD1	0	78	0	566	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,78,0,566),nrow=2))$p.value
Myeloid tumor	SMAD2	0	168	2	1024	0.000000	0.001949	0.001949	0	fisher.test(matrix(c(0,168,2,1024),nrow=2))$p.value
Myeloid tumor	FGF3	0	115	0	587	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,115,0,587),nrow=2))$p.value
Myeloid tumor	TNFRSF14	0	115	0	586	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,115,0,586),nrow=2))$p.value
Myeloid tumor	BACH2	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
Myeloid tumor	ARID5A	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
Myeloid tumor	BTK	0	115	0	587	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,115,0,587),nrow=2))$p.value
Myeloid tumor	RAD52	0	42	2	256	0.000000	0.007752	0.007752	0	fisher.test(matrix(c(0,42,2,256),nrow=2))$p.value
Myeloid tumor	HIST1H2BO	0	70	0	513	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,70,0,513),nrow=2))$p.value
Myeloid tumor	KDM5C	0	155	0	852	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,155,0,852),nrow=2))$p.value
Myeloid tumor	BRCA1	1	168	3	1046	0.005917	0.002860	0.003057	1	fisher.test(matrix(c(1,168,3,1046),nrow=2))$p.value
Myeloid tumor	MTOR	0	169	5	1044	0.000000	0.004766	0.004766	0	fisher.test(matrix(c(0,169,5,1044),nrow=2))$p.value
Myeloid tumor	PIK3CG	0	116	0	608	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,116,0,608),nrow=2))$p.value
Myeloid tumor	LCK	0	70	0	513	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,70,0,513),nrow=2))$p.value
Myeloid tumor	SMC1A	0	258	0	1832	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,258,0,1832),nrow=2))$p.value
Myeloid tumor	DUSP22	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
Myeloid tumor	EGR1	0	34	0	82	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,34,0,82),nrow=2))$p.value
Myeloid tumor	ARID3B	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
Myeloid tumor	RNF43	0	135	0	738	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,135,0,738),nrow=2))$p.value
Myeloid tumor	FURIN	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
Myeloid tumor	CDK4	0	168	3	1024	0.000000	0.002921	0.002921	0	fisher.test(matrix(c(0,168,3,1024),nrow=2))$p.value
Myeloid tumor	AXL	0	169	5	1045	0.000000	0.004762	0.004762	0	fisher.test(matrix(c(0,169,5,1045),nrow=2))$p.value
Myeloid tumor	TRAF2	0	73	0	517	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,73,0,517),nrow=2))$p.value
Myeloid tumor	FLCN	1	168	2	1046	0.005917	0.001908	0.004009	1	fisher.test(matrix(c(1,168,2,1046),nrow=2))$p.value
Myeloid tumor	ERG	4	173	13	839	0.022599	0.015258	0.007341	1	fisher.test(matrix(c(4,173,13,839),nrow=2))$p.value
Myeloid tumor	XBP1	0	108	0	555	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,108,0,555),nrow=2))$p.value
Myeloid tumor	SMC3	0	278	4	1979	0.000000	0.002017	0.002017	0	fisher.test(matrix(c(0,278,4,1979),nrow=2))$p.value
Myeloid tumor	PBRM1	0	156	0	876	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,156,0,876),nrow=2))$p.value
Myeloid tumor	FGFR3	2	243	5	1572	0.008163	0.003171	0.004993	1	fisher.test(matrix(c(2,243,5,1572),nrow=2))$p.value
Myeloid tumor	NSD1	0	153	0	688	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,153,0,688),nrow=2))$p.value
Myeloid tumor	KMT2D	0	191	4	1045	0.000000	0.003813	0.003813	0	fisher.test(matrix(c(0,191,4,1045),nrow=2))$p.value
Myeloid tumor	BIRC3	0	74	0	517	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,74,0,517),nrow=2))$p.value
Myeloid tumor	FOXP1	0	111	0	537	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,111,0,537),nrow=2))$p.value
Myeloid tumor	REL	0	167	2	1024	0.000000	0.001949	0.001949	0	fisher.test(matrix(c(0,167,2,1024),nrow=2))$p.value
Myeloid tumor	RICTOR	1	133	1	715	0.007463	0.001397	0.006066	1	fisher.test(matrix(c(1,133,1,715),nrow=2))$p.value
Myeloid tumor	TYK2	0	108	2	553	0.000000	0.003604	0.003604	0	fisher.test(matrix(c(0,108,2,553),nrow=2))$p.value
Myeloid tumor	SETD4	1	14	1	75	0.066667	0.013158	0.053509	1	fisher.test(matrix(c(1,14,1,75),nrow=2))$p.value
Myeloid tumor	CDKN2C	0	168	6	1020	0.000000	0.005848	0.005848	0	fisher.test(matrix(c(0,168,6,1020),nrow=2))$p.value
Myeloid tumor	ALOX12B	0	57	0	440	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,57,0,440),nrow=2))$p.value
Myeloid tumor	SETDB2	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
Myeloid tumor	GNA12	0	70	0	513	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,70,0,513),nrow=2))$p.value
Myeloid tumor	ID3	0	167	3	1023	0.000000	0.002924	0.002924	0	fisher.test(matrix(c(0,167,3,1023),nrow=2))$p.value
Myeloid tumor	SETDB1	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
Myeloid tumor	RHOA	0	134	0	716	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,134,0,716),nrow=2))$p.value
Myeloid tumor	FAT1	1	132	1	714	0.007519	0.001399	0.006120	1	fisher.test(matrix(c(1,132,1,714),nrow=2))$p.value
Myeloid tumor	GNAQ	0	244	1	1554	0.000000	0.000643	0.000643	0	fisher.test(matrix(c(0,244,1,1554),nrow=2))$p.value
Myeloid tumor	MAPK1	2	167	10	1039	0.011834	0.009533	0.002301	1	fisher.test(matrix(c(2,167,10,1039),nrow=2))$p.value
Myeloid tumor	EPHA5	1	147	1	896	0.006757	0.001115	0.005642	1	fisher.test(matrix(c(1,147,1,896),nrow=2))$p.value
Myeloid tumor	FLT4	0	169	6	1042	0.000000	0.005725	0.005725	0	fisher.test(matrix(c(0,169,6,1042),nrow=2))$p.value
Myeloid tumor	ERBB4	0	245	2	1575	0.000000	0.001268	0.001268	0	fisher.test(matrix(c(0,245,2,1575),nrow=2))$p.value
Myeloid tumor	AURKA	0	168	4	1022	0.000000	0.003899	0.003899	0	fisher.test(matrix(c(0,168,4,1022),nrow=2))$p.value
Myeloid tumor	SDHC	2	147	7	1014	0.013423	0.006856	0.006567	1	fisher.test(matrix(c(2,147,7,1014),nrow=2))$p.value
Myeloid tumor	HNF1A	0	244	3	1570	0.000000	0.001907	0.001907	0	fisher.test(matrix(c(0,244,3,1570),nrow=2))$p.value
Myeloid tumor	GNAS	0	335	4	2512	0.000000	0.001590	0.001590	0	fisher.test(matrix(c(0,335,4,2512),nrow=2))$p.value
Myeloid tumor	CDH1	0	244	0	1572	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,244,0,1572),nrow=2))$p.value
Myeloid tumor	BRIP1	1	168	2	1047	0.005917	0.001907	0.004011	1	fisher.test(matrix(c(1,168,2,1047),nrow=2))$p.value
Myeloid tumor	CDKN2B	0	190	3	1024	0.000000	0.002921	0.002921	0	fisher.test(matrix(c(0,190,3,1024),nrow=2))$p.value
Myeloid tumor	NTRK1	2	168	7	1047	0.011765	0.006641	0.005123	1	fisher.test(matrix(c(2,168,7,1047),nrow=2))$p.value
Myeloid tumor	MUTYH	0	169	5	1043	0.000000	0.004771	0.004771	0	fisher.test(matrix(c(0,169,5,1043),nrow=2))$p.value
Myeloid tumor	PDGFRA	1	354	2	2501	0.002817	0.000799	0.002018	1	fisher.test(matrix(c(1,354,2,2501),nrow=2))$p.value
Myeloid tumor	EP300	2	189	8	1040	0.010471	0.007634	0.002838	1	fisher.test(matrix(c(2,189,8,1040),nrow=2))$p.value
Myeloid tumor	TSC2	0	169	1	1048	0.000000	0.000953	0.000953	0	fisher.test(matrix(c(0,169,1,1048),nrow=2))$p.value
Myeloid tumor	IRS2	0	116	0	608	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,116,0,608),nrow=2))$p.value
Myeloid tumor	PAK7	0	23	0	129	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,23,0,129),nrow=2))$p.value
Myeloid tumor	SGK1	0	72	0	535	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,72,0,535),nrow=2))$p.value
Myeloid tumor	ROS1	0	169	2	1048	0.000000	0.001905	0.001905	0	fisher.test(matrix(c(0,169,2,1048),nrow=2))$p.value
Myeloid tumor	TGFBR2	0	115	0	586	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,115,0,586),nrow=2))$p.value
Myeloid tumor	PIGA	0	73	0	562	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,73,0,562),nrow=2))$p.value
Myeloid tumor	RAD54L	0	24	0	129	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,24,0,129),nrow=2))$p.value
Myeloid tumor	SUZ12	1	171	5	1037	0.005814	0.004798	0.001015	1	fisher.test(matrix(c(1,171,5,1037),nrow=2))$p.value
Myeloid tumor	NF2	2	166	10	1017	0.011905	0.009737	0.002168	1	fisher.test(matrix(c(2,166,10,1017),nrow=2))$p.value
Myeloid tumor	ATR	0	135	0	739	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,135,0,739),nrow=2))$p.value
Myeloid tumor	PIK3CA	0	245	7	1571	0.000000	0.004436	0.004436	0	fisher.test(matrix(c(0,245,7,1571),nrow=2))$p.value
Myeloid tumor	TET1	0	95	4	691	0.000000	0.005755	0.005755	0	fisher.test(matrix(c(0,95,4,691),nrow=2))$p.value
Myeloid tumor	CD28	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
Myeloid tumor	SETD5	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
Myeloid tumor	HIST1H2BD	0	22	0	129	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,22,0,129),nrow=2))$p.value
Myeloid tumor	PCBP1	0	72	0	535	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,72,0,535),nrow=2))$p.value
Myeloid tumor	PIK3C3	0	23	0	129	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,23,0,129),nrow=2))$p.value
Myeloid tumor	ARID1B	0	167	1	1025	0.000000	0.000975	0.000975	0	fisher.test(matrix(c(0,167,1,1025),nrow=2))$p.value
Myeloid tumor	CDK8	0	134	2	713	0.000000	0.002797	0.002797	0	fisher.test(matrix(c(0,134,2,713),nrow=2))$p.value
Myeloid tumor	U2AF2	0	114	0	576	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,114,0,576),nrow=2))$p.value
Myeloid tumor	APC	0	244	0	1573	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,244,0,1573),nrow=2))$p.value
Myeloid tumor	FYN	0	59	0	149	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,59,0,149),nrow=2))$p.value
Myeloid tumor	FGFR4	0	170	3	1057	0.000000	0.002830	0.002830	0	fisher.test(matrix(c(0,170,3,1057),nrow=2))$p.value
Myeloid tumor	ASXL2	0	81	0	149	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,81,0,149),nrow=2))$p.value
Myeloid tumor	DDX3X	0	109	0	555	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,109,0,555),nrow=2))$p.value
