cancer	gene	AYA_mut	AYA_wt	OA_mut	OA_wt	AYA_mut_ratio	OA_mut_ratio	Diff_AYA_OA	Higher_in_AYA	P
Lymphoid tumor	ALK-CCSER1	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	AFF1-KMT2A	3	138	1	502	0.021277	0.001988	0.019289	1	fisher.test(matrix(c(3,138,1,502),nrow=2))$p.value
Lymphoid tumor	ABL1-intergenic	1	129	0	575	0.007692	0.000000	0.007692	1	fisher.test(matrix(c(1,129,0,575),nrow=2))$p.value
Lymphoid tumor	ETV6-FLT3	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	IGHE-MYEOV	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	ERBB4-intragenic	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	IGH-S1PR2	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	BCL6-IL21R	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	CIITA-IGH	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCL2-IGH	1	168	25	462	0.005917	0.051335	0.045418	0	fisher.test(matrix(c(1,168,25,462),nrow=2))$p.value
Lymphoid tumor	AR-intragenic	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	MAP2K1-intragenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCL6-IGH	0	130	10	565	0.000000	0.017391	0.017391	0	fisher.test(matrix(c(0,130,10,565),nrow=2))$p.value
Lymphoid tumor	FLT4-FRMD4A	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	CD58-intragenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	IGHA1-intragenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCL6-CIITA	1	129	3	572	0.007692	0.005217	0.002475	1	fisher.test(matrix(c(1,129,3,572),nrow=2))$p.value
Lymphoid tumor	CD79B-intergenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	PRDM1-intragenic	0	162	4	780	0.000000	0.005102	0.005102	0	fisher.test(matrix(c(0,162,4,780),nrow=2))$p.value
Lymphoid tumor	PIK3C2B-SLC6A11	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	ASXL1-intragenic	0	152	1	561	0.000000	0.001779	0.001779	0	fisher.test(matrix(c(0,152,1,561),nrow=2))$p.value
Lymphoid tumor	MYC-intergenic	2	128	2	573	0.015385	0.003478	0.011906	1	fisher.test(matrix(c(2,128,2,573),nrow=2))$p.value
Lymphoid tumor	CCND1-IGH	0	85	3	290	0.000000	0.010239	0.010239	0	fisher.test(matrix(c(0,85,3,290),nrow=2))$p.value
Lymphoid tumor	KMT2D-intragenic	0	130	2	573	0.000000	0.003478	0.003478	0	fisher.test(matrix(c(0,130,2,573),nrow=2))$p.value
Lymphoid tumor	BCL2-intergenic	0	85	3	290	0.000000	0.010239	0.010239	0	fisher.test(matrix(c(0,85,3,290),nrow=2))$p.value
Lymphoid tumor	KMT2A-intragenic	1	163	0	300	0.006098	0.000000	0.006098	1	fisher.test(matrix(c(1,163,0,300),nrow=2))$p.value
Lymphoid tumor	FGFR2-intragenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	PMS2-intragenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCL6-TNFAIP8	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	MYD88-intragenic	1	129	2	573	0.007692	0.003478	0.004214	1	fisher.test(matrix(c(1,129,2,573),nrow=2))$p.value
Lymphoid tumor	FANCD2-intragenic	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	ABCA1-CBL	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	IGHJ4-intergenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCOR-intragenic	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	PML-RARA	0	197	0	844	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,197,0,844),nrow=2))$p.value
Lymphoid tumor	NF1-RAB11FIP4	0	130	1	574	0.000000	0.001739	0.001739	0	fisher.test(matrix(c(0,130,1,574),nrow=2))$p.value
Lymphoid tumor	LMNA-SOCS1	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	RB1-intragenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	SUZ12-intragenic	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	TP53-intragenic	0	117	2	500	0.000000	0.003984	0.003984	0	fisher.test(matrix(c(0,117,2,500),nrow=2))$p.value
Lymphoid tumor	SOCS1-intragenic	5	157	5	779	0.030864	0.006378	0.024487	1	fisher.test(matrix(c(5,157,5,779),nrow=2))$p.value
Lymphoid tumor	TRAJ21-intergenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	MMSET-intergenic	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	IGH-NME5	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	PDCD1LG2-intragenic	1	139	1	298	0.007143	0.003344	0.003798	1	fisher.test(matrix(c(1,139,1,298),nrow=2))$p.value
Lymphoid tumor	MYC-intragenic	1	168	5	789	0.005917	0.006297	0.000380	0	fisher.test(matrix(c(1,168,5,789),nrow=2))$p.value
Lymphoid tumor	BCL6-intergenic	2	160	16	768	0.012346	0.020408	0.008062	0	fisher.test(matrix(c(2,160,16,768),nrow=2))$p.value
Lymphoid tumor	ETV5-SIL1	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	SMAD4-intragenic	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	TRAV38-2DV8-intragenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCL2-IGHJ3	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	GRK4-HNF1A	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	ACOT11-RP11	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	IGHJ4-IGHV4-59	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	IGHD2-2-LINC00484	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	ETV6-IGH	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	ZFP36L1-intergenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCL2-IGHJ6	0	85	4	289	0.000000	0.013652	0.013652	0	fisher.test(matrix(c(0,85,4,289),nrow=2))$p.value
Lymphoid tumor	KMT2D-intergenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	IGHE-intergenic	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	IGH-ZFP36L1	0	85	2	291	0.000000	0.006826	0.006826	0	fisher.test(matrix(c(0,85,2,291),nrow=2))$p.value
Lymphoid tumor	IGH-WWOX	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	ELL-KMT2A	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	BCL6-TBL1XR1	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	PIM1-intragenic	0	162	15	769	0.000000	0.019133	0.019133	0	fisher.test(matrix(c(0,162,15,769),nrow=2))$p.value
Lymphoid tumor	IGHJ1-intergenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	ARID2-intragenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCL6-IGHE	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	IGHE-MYC	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCL6-IGL	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	BCL6-IKZF1	0	130	4	571	0.000000	0.006957	0.006957	0	fisher.test(matrix(c(0,130,4,571),nrow=2))$p.value
Lymphoid tumor	ABCB9-IGH	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	IGHD3-9-intergenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCL6-ST6GAL1	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	IGH-MYC	1	165	3	634	0.006024	0.004710	0.001315	1	fisher.test(matrix(c(1,165,3,634),nrow=2))$p.value
Lymphoid tumor	NFKBIZ-intragenic	1	129	2	573	0.007692	0.003478	0.004214	1	fisher.test(matrix(c(1,129,2,573),nrow=2))$p.value
Lymphoid tumor	MYB-intragenic	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	BCL6-LPP	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCL2-IGHD	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	KDM6B-PITPNM3	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	LMO3-RELL1	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	BCL2-MPST	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	IGH-MPST	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	JAK2-TTC7B	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	FUS-intragenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	CBFA2T3-IGH	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	CDKN1B-ETV6	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	KCNIP1-intragenic	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	SBNO2-STK11	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	GATA6-intragenic	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	STAG2-intragenic	1	129	0	575	0.007692	0.000000	0.007692	1	fisher.test(matrix(c(1,129,0,575),nrow=2))$p.value
Lymphoid tumor	TAL2-TRB	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	DLEU2-SF3B1	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	KMT2A-MLLT4	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	TRDV2-intragenic	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	TRGJ2-intragenic	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	DEPDC5-intragenic	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	CUX1-intragenic	1	129	0	575	0.007692	0.000000	0.007692	1	fisher.test(matrix(c(1,129,0,575),nrow=2))$p.value
Lymphoid tumor	FLT4-intragenic	0	120	0	353	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,120,0,353),nrow=2))$p.value
Lymphoid tumor	PEX13-REL	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	KMT2A-MLLT1	3	161	0	300	0.018293	0.000000	0.018293	1	fisher.test(matrix(c(3,161,0,300),nrow=2))$p.value
Lymphoid tumor	IGH-TRAJ41	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	PARK2-intragenic	0	85	1	292	0.000000	0.003413	0.003413	0	fisher.test(matrix(c(0,85,1,292),nrow=2))$p.value
Lymphoid tumor	IGH-intergenic	2	83	4	289	0.023529	0.013652	0.009878	1	fisher.test(matrix(c(2,83,4,289),nrow=2))$p.value
Lymphoid tumor	TRA-intragenic	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	BCL6-CYP2D8P	1	84	0	293	0.011765	0.000000	0.011765	1	fisher.test(matrix(c(1,84,0,293),nrow=2))$p.value
Lymphoid tumor	GNA11-intragenic	0	35	1	59	0.000000	0.016667	0.016667	0	fisher.test(matrix(c(0,35,1,59),nrow=2))$p.value
Lymphoid tumor	FAS-PTEN	0	35	1	59	0.000000	0.016667	0.016667	0	fisher.test(matrix(c(0,35,1,59),nrow=2))$p.value
Lymphoid tumor	NF2-SFI1	0	35	1	59	0.000000	0.016667	0.016667	0	fisher.test(matrix(c(0,35,1,59),nrow=2))$p.value
Lymphoid tumor	NF1-intragenic	2	120	0	275	0.016393	0.000000	0.016393	1	fisher.test(matrix(c(2,120,0,275),nrow=2))$p.value
Lymphoid tumor	GSTM5-intragenic	0	35	1	59	0.000000	0.016667	0.016667	0	fisher.test(matrix(c(0,35,1,59),nrow=2))$p.value
Lymphoid tumor	ERCC2-intragenic	0	35	0	60	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,35,0,60),nrow=2))$p.value
Lymphoid tumor	AURKA-intragenic	0	35	0	60	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,35,0,60),nrow=2))$p.value
Lymphoid tumor	KDM6B-intragenic	0	35	0	60	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,35,0,60),nrow=2))$p.value
Lymphoid tumor	ABL1-SERINC2	0	35	0	60	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,35,0,60),nrow=2))$p.value
Lymphoid tumor	KMT2D-LARP4	0	35	0	60	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,35,0,60),nrow=2))$p.value
Lymphoid tumor	KMT2D-UPF3A	0	35	0	60	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,35,0,60),nrow=2))$p.value
Lymphoid tumor	ETV6-FOXO1	1	34	0	60	0.028571	0.000000	0.028571	1	fisher.test(matrix(c(1,34,0,60),nrow=2))$p.value
Lymphoid tumor	TRBJ2-7-TRBV11-2	1	34	0	60	0.028571	0.000000	0.028571	1	fisher.test(matrix(c(1,34,0,60),nrow=2))$p.value
Lymphoid tumor	ETV6-PAX5	1	34	0	60	0.028571	0.000000	0.028571	1	fisher.test(matrix(c(1,34,0,60),nrow=2))$p.value
Lymphoid tumor	CIITA-SOCS1	2	57	0	31	0.033898	0.000000	0.033898	1	fisher.test(matrix(c(2,57,0,31),nrow=2))$p.value
Lymphoid tumor	BMPR1A-NUDT9P1	1	3	0	25	0.250000	0.000000	0.250000	1	fisher.test(matrix(c(1,3,0,25),nrow=2))$p.value
Lymphoid tumor	KMT2A-RNF214	0	4	1	24	0.000000	0.040000	0.040000	0	fisher.test(matrix(c(0,4,1,24),nrow=2))$p.value
Lymphoid tumor	TAP1-intragenic	0	4	1	24	0.000000	0.040000	0.040000	0	fisher.test(matrix(c(0,4,1,24),nrow=2))$p.value
Lymphoid tumor	EGLN1-intragenic	0	32	0	209	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,32,0,209),nrow=2))$p.value
Lymphoid tumor	KMT2A-RP11	0	32	0	209	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,32,0,209),nrow=2))$p.value
Lymphoid tumor	ZNF276-intragenic	0	32	1	208	0.000000	0.004785	0.004785	0	fisher.test(matrix(c(0,32,1,208),nrow=2))$p.value
Lymphoid tumor	ARID1A-intragenic	0	77	3	488	0.000000	0.006110	0.006110	0	fisher.test(matrix(c(0,77,3,488),nrow=2))$p.value
Lymphoid tumor	CDKN1B-intragenic	0	77	2	489	0.000000	0.004073	0.004073	0	fisher.test(matrix(c(0,77,2,489),nrow=2))$p.value
Lymphoid tumor	RARA-intergenic	0	32	0	209	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,32,0,209),nrow=2))$p.value
Lymphoid tumor	RUNX1-RUNX1T1	0	160	0	350	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,160,0,350),nrow=2))$p.value
Lymphoid tumor	-RUNX1	0	160	0	350	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,160,0,350),nrow=2))$p.value
Lymphoid tumor	ETV4-intergenic	0	32	0	209	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,32,0,209),nrow=2))$p.value
Lymphoid tumor	MEF2BNB-MEF2B-intragenic	0	32	1	208	0.000000	0.004785	0.004785	0	fisher.test(matrix(c(0,32,1,208),nrow=2))$p.value
Lymphoid tumor	TET1-intragenic	0	32	1	208	0.000000	0.004785	0.004785	0	fisher.test(matrix(c(0,32,1,208),nrow=2))$p.value
Lymphoid tumor	CALR-intragenic	0	77	0	491	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,77,0,491),nrow=2))$p.value
Lymphoid tumor	CALR-MUC16	0	32	1	208	0.000000	0.004785	0.004785	0	fisher.test(matrix(c(0,32,1,208),nrow=2))$p.value
