Uniprot Degree Betweenness Closeness Transitivity Pagerank Eccentricity Eigenvector
HTRA2 72 0.000518146596117254 0.313992659258887 0.0105633802816901 0.000329973370182772 7 0.0713252148064475
GABARAPL2 76 0.00252349097601053 0.321774525968673 0.00912280701754386 0.000440607073307137 8 0.045978415336471
FEN1 5 8.33688724106605e-05 0.239943135974181 0.1 5.43042915707693e-05 8 0.000283047951154601
EIF4E 19 0.000542149686423973 0.288592619977356 0.0233918128654971 0.000139992785334615 8 0.0169707866490275
DDB1 18 0.000212792758929011 0.301625250549397 0.150326797385621 0.000111396927532516 8 0.0116688927200464
CREBBP 25 0.00051438446376516 0.309303880537877 0.0366666666666667 0.000161791265437752 7 0.0162737321805894
CHMP1B 8 2.82621302115147e-05 0.278279081166589 0.0357142857142857 5.91554223196626e-05 8 0.00758587719788857
CEP55 61 0.000972785669031954 0.335680498817459 0.0491803278688525 0.000293210953551658 8 0.130910840506928
CDC73 27 0.000578334787130712 0.314887180133619 0.0341880341880342 0.000143309397235958 8 0.0593347087794835
CCNE1 8 0.000165328676192333 0.26026797807831 0.214285714285714 6.91140804115244e-05 8 0.00307417846939615
CCND2 5 1.26622958522628e-06 0.262626687413264 0.4 3.65300953399994e-05 8 0.00306947812393686
CCND1 11 4.54875014191903e-05 0.271474526169362 0.163636363636364 7.21655301612745e-05 8 0.00404832911501786
CBX7 11 1.05881381466042e-05 0.273393892962679 0.290909090909091 6.30722258676247e-05 8 0.00897439602079484
CBLB 31 0.000292818187016133 0.307128630093196 0.0279569892473118 0.000165136657961466 8 0.0265432178996242
CASP8 26 0.000369152298874062 0.30317741583125 0.04 0.000160760911056018 7 0.016253574602036
CAND1 8 1.25616605109562e-05 0.254099361191358 0.214285714285714 5.96591645476328e-05 9 0.0013194939497655
BRAF 20 0.000130964558762791 0.296062768151326 0.210526315789474 0.000122586565516584 7 0.0123579458096528
BNIP3 54 0.000571452660555461 0.288126600382938 0.0999301187980433 0.000249552564804237 9 0.0129436726104767
BMI1 27 0.000193399414254754 0.301341439876472 0.142450142450142 0.000147431839791873 8 0.0252359929286104
BATF 20 0.000377050579292813 0.312836568566061 0.0842105263157895 0.000112606830067003 8 0.0401899438430273
ARL2 6 1.68908259717237e-05 0.251647089637943 0.2 5.09403607499419e-05 9 0.00173827847207511
APAF1 4 4.12146801502019e-06 0.257929952089873 0 3.39929128051705e-05 9 0.00139817834187706
USH1C 12 0.000805163757864803 0.281909491028101 0.0606060606060606 0.000125500473518472 9 0.0137920983945244
TNFRSF10B 4 1.82011288504945e-05 0.255916402007991 0 3.3498286094464e-05 9 0.000857725626559027
SUPT4H1 1 0 0.218861708838579 0 1.83795542060795e-05 9 8.18846018978539e-05
SUMO1 61 0.00135940913061164 0.328209170936802 0.0584699453551913 0.000318730042865602 8 0.0608487912705406
SMC3 10 1.04687141811177e-05 0.245629215913784 0.4 7.98327726345737e-05 8 0.000762810842802581
SMAD1 14 0.000118299691932543 0.279837788183631 0.010989010989011 9.39169425509915e-05 8 0.00538383370540951
SAV1 5 6.85647046296034e-06 0.255858734841036 0.2 4.23173334824023e-05 8 0.000967445872238529
RNF31 20 6.38067698089304e-05 0.307468859238836 0.0789473684210526 9.49773104771761e-05 8 0.0382546659474014
RIPK1 17 0.000210863504409664 0.288026934784614 0.161764705882353 0.000105874407902451 8 0.0153356097426724
RARA 33 0.000910749357238019 0.306811761526935 0.0378787878787879 0.000210508029907512 8 0.0225460425918747
RAD21 9 3.00395283537013e-05 0.261899769343678 0.472222222222222 6.97386779657293e-05 8 0.00335161559521303
RAB11A 15 0.000155381321799807 0.287271723630342 0.0380952380952381 9.36780903512542e-05 7 0.00911259965749412
PSMD4 16 0.000146527764445517 0.307749168411975 0.15 9.43390546829528e-05 8 0.0149038480434805
PSMC1 30 0.000686350109429325 0.320511175549796 0.174712643678161 0.000167632252174346 8 0.0343964202229349
PRKACA 66 0.00250170580594583 0.331968955985541 0.0307692307692308 0.000390503927182313 8 0.0384438735749967
PPP2R1A 61 0.0013549502673665 0.301457810388106 0.059016393442623 0.000385134655474855 8 0.014574044255066
PPP1CA 69 0.00310357978887791 0.328649615829913 0.0191815856777494 0.000459765317886517 8 0.0420871308174432
PEX11B 1 0 0.217398872101929 0 1.99959616499779e-05 9 7.40220394133297e-05
PARD6B 25 0.000307376944845681 0.30519242516799 0.0666666666666667 0.00014199694897518 8 0.0335024644176897
OPTN 171 0.00914217611542638 0.348347510807419 0.0103887168902649 0.00112431905683121 8 0.128158136285282
NSFL1C 3 1.26301241006598e-06 0.265575164788433 0 2.64235215621237e-05 8 0.0034292986133911
MCM2 20 0.000187920698317298 0.28243221852882 0.173684210526316 0.000132849473145443 7 0.0047047471495464
MAML1 2 1.48782579009146e-07 0.247155436825962 0 2.32378365138777e-05 9 0.000702316375973349
HDAC3 18 8.86733525916687e-05 0.279768837917749 0.0392156862745098 0.000106719219629603 8 0.0113011380166995
HDAC1 109 0.00348437758015093 0.31670766031899 0.0332993544002718 0.000650702151522334 7 0.0452585823806943
GOLGA2 390 0.0144534568511147 0.366232699976542 0.0141454090040208 0.00182243589275271 8 0.617108055966594
FNTA 4 0.000471364157341088 0.232688115952829 0 7.23343658592788e-05 8 0.00052015377929492
EIF3K 12 1.49954706448729e-05 0.277130621935255 0.545454545454545 6.82902097120331e-05 8 0.00784051695267238
EIF3F 53 0.000942969404606805 0.329481903555978 0.0522496371552975 0.000257305173215008 8 0.0890193465953208
E2F6 18 0.000218203140887649 0.2865138898447 0.339869281045752 0.000110768936721801 8 0.0137675333119509
CIAPIN1 2 1.0959280264647e-06 0.281585354856164 0 2.14575272168493e-05 8 0.0126622060595689
CIAO1 16 0.00036175052779353 0.296224267147329 0.025 0.000104666186372091 8 0.0176052679314201
CEP290 15 0.000122283280693302 0.286185642600188 0.114285714285714 9.9965492938999e-05 8 0.0126989159298779
CDH1 36 0.000435874214008289 0.305319252957857 0.0206349206349206 0.000203637922784173 8 0.018068620999837
CDC42 33 0.000998520201438544 0.287317982103011 0.0151515151515152 0.000262969305211306 8 0.00711852934407561
CCP110 9 0.000178703688837349 0.267102927653386 0.166666666666667 7.89441368651418e-05 8 0.00321229015914182
CBX5 64 0.00198275149872206 0.306270076751428 0.0391865079365079 0.000416179717419507 7 0.0258294350630139
BTRC 28 0.000408841128586443 0.309081910418213 0.0264550264550265 0.000159544532725377 8 0.0244561256744631
BCL2 18 0.000164654617786096 0.300189871896556 0.0588235294117647 0.000103859761674514 8 0.00980149546126443
ATG4B 6 2.08583691921893e-06 0.257302954142804 0 4.2806477586753e-05 9 0.00200983060404519
ATF3 19 0.000171107663344105 0.303170056798874 0.12280701754386 0.000103682637512321 8 0.0179745794809136
ASF1A 18 0.000435283062941037 0.271977004986608 0.163398692810458 0.000138279214381182 8 0.00312275983895658
ARHGEF7 10 0.000150298449910218 0.304507886973694 0.111111111111111 6.66934627309919e-05 8 0.015482063068314
APPL1 16 0.000629816186651742 0.30024760210582 0.0416666666666667 0.000118330558908999 8 0.0185585341447583
APC 20 0.000390760750653819 0.283464209522945 0.0842105263157895 0.000143445401666584 8 0.00651521178669553
AGO2 25 0.000869927586677692 0.305775209929738 0.0766666666666667 0.000168201821368397 8 0.0209886198549123
ACTB 30 0.00104282599950904 0.329091244433905 0.0758620689655173 0.00018787325304516 8 0.033646531903114
TRADD 8 9.12001515686221e-06 0.280705697269356 0.25 5.04372985008887e-05 8 0.00880547482150052
TEAD1 14 6.70020771718385e-05 0.311145433710328 0.0659340659340659 7.70005568895046e-05 8 0.0329937221369124
SAE1 9 2.07188375652842e-05 0.295174174032235 0.222222222222222 5.34898843290296e-05 8 0.0191701537771758
RFC4 4 5.79519227328937e-06 0.260778786929742 0 3.30477027208917e-05 8 0.0019592463537732
RAD51C 9 4.60549348726544e-05 0.268135076533351 0.361111111111111 7.25907202157778e-05 9 0.00550816185251062
PTPN1 27 0.00109271557927703 0.298746651358592 0.0398860398860399 0.00018771948320215 8 0.00883309833945082
PTK2 27 0.000205096889421569 0.30331730535723 0.116809116809117 0.000153691034927195 8 0.0186305310824907
PPP4C 19 0.00030478670575512 0.278894247945695 0.239766081871345 0.000116067901543266 8 0.0075015918181834
PCGF2 15 6.20587048625366e-05 0.291393509553694 0.238095238095238 8.35052656553572e-05 8 0.0143091216031819
PCGF1 14 6.06860739197016e-05 0.27962477891956 0.32967032967033 8.64228317628731e-05 9 0.00854198910427709
NSMCE1 5 3.38578076117358e-05 0.230787708568155 0.3 5.74640769898302e-05 8 0.000408075152969655
NLRP3 5 2.67795653907716e-05 0.252272268228641 0.2 4.41941523258092e-05 9 0.00109798020448968
NDC80 51 0.000860691543387035 0.317343360943137 0.0917647058823529 0.000254344494519563 7 0.0859921897606344
MIS18A 32 0.000408320037133584 0.318557437257703 0.0806451612903226 0.000162200169052874 7 0.0625323474712933
LEO1 8 0.000172254570124661 0.266943084913121 0.25 6.67143312172544e-05 8 0.0046253227188317
LAMTOR2 8 1.62069743094055e-05 0.252348722093141 0.535714285714286 6.15005859108212e-05 9 0.00193727673092194
KRT18 31 0.000359523626990878 0.325065715847279 0.126881720430108 0.000145940383254805 8 0.0718804361663332
IGBP1 17 0.000116821644345544 0.294506012732846 0.191176470588235 9.38539091955471e-05 8 0.0166693825147654
EXOSC5 59 0.000955046741732254 0.327271774447123 0.0467562828755114 0.000275550426358266 8 0.13635974414918
EIF4A3 46 0.00149516001645307 0.324146164227136 0.0531400966183575 0.000259231970010743 7 0.0686925498516759
DDX6 79 0.00166763896521948 0.334906419263152 0.0191496267445635 0.000365308814904818 8 0.178323427373568
DCP1A 13 9.16077376753114e-05 0.27414398595259 0.115384615384615 9.50646689668585e-05 8 0.00793327474189021
CSNK2A2 50 0.00136404862776912 0.306014945485728 0.0285714285714286 0.000339930608665456 8 0.0240725612535978
BANF1 2 4.73894255677518e-07 0.26050683074356 0 2.07108882165163e-05 8 0.00194573031936645
BAK1 21 0.000287760529293577 0.304634146341463 0.080952380952381 0.00011704345768906 8 0.0363179995698099
ATF2 26 0.000279145849293618 0.298275779720113 0.107692307692308 0.000148176853261145 8 0.0218136133935172
ARL3 10 0.000325344250718275 0.242698637856324 0.0666666666666667 0.000109251113266657 9 0.000743127621902969
VPS16 9 9.30539847621013e-05 0.2713683570156 0.138888888888889 6.62209810558216e-05 9 0.0109097901127223
TF 23 3.57245822417266e-05 0.27169302386287 0.0513833992094862 0.000103830080671168 9 0.00517586724157354
SMC1A 13 4.86151105097108e-05 0.266476072624864 0.256410256410256 9.23718038278314e-05 7 0.00202287009409079
SMARCA4 19 0.000221112035871951 0.279181009432697 0.192982456140351 0.000127177808255867 8 0.00933805645843783
SH3GLB1 143 0.00384235897033739 0.328243672965231 0.00886437506155816 0.000769862036988876 8 0.0664754844430716
PRKAB2 155 0.00427951463427387 0.358804941108877 0.0469208211143695 0.000685694278720881 7 0.395196535650655
PPP2CA 54 0.00129652570466062 0.310696517412935 0.0566037735849057 0.000322937115523151 8 0.0235731395578614
PIK3C3 7 1.69376940333292e-05 0.271557159629517 0.428571428571429 4.77090568555561e-05 8 0.00364723532784809
NCR3 4 4.42236024877606e-05 0.271734400835436 0 3.13264506633255e-05 8 0.00329183917545704
NCF1 13 0.00046681596975662 0.305140232580866 0.0641025641025641 9.94290404543672e-05 8 0.0199577936606496
MIS12 16 0.000123538052673819 0.264669110635503 0.358333333333333 0.00010573952348899 7 0.00402397195150941
MED18 30 0.000136338763908669 0.281464788732394 0.326436781609195 0.000147909481363201 8 0.0103385063341688
MAP1LC3A 15 7.60154645817709e-05 0.277598737581402 0.00952380952380952 9.23875063139059e-05 8 0.00442703755070409
KRT15 113 0.000585331609628384 0.333146621855912 0.0505689001264222 0.000450396051963968 8 0.263076122483649
KIFAP3 16 0.000351080107945856 0.287146239970573 0.00833333333333333 0.000111571018162047 8 0.0202564819680314
ITGAV 8 0.000193336847591062 0.266050355727858 0.0357142857142857 7.21074577799255e-05 8 0.0024139716236945
HDAC4 62 0.00120961656774927 0.33198660358301 0.041776837652036 0.000273145015415413 7 0.188262179493053
GEMIN6 10 0.000100059364472477 0.272677655277808 0.133333333333333 7.06886824439828e-05 9 0.00495023118418827
G3BP1 18 0.000721015551224731 0.299219012026257 0.0196078431372549 0.000138421965424154 8 0.0147412915222157
FTH1 8 2.21875680562072e-05 0.291767893851616 0.107142857142857 4.68098916407258e-05 8 0.0120886417881643
ERRFI1 6 4.96318583533944e-06 0.288179783576752 0.4 4.25379599632392e-05 7 0.00593344445713642
EMC2 13 0.000311709754690024 0.274892155999648 0.141025641025641 0.000104598754893305 9 0.00609959323830785
COPS5 61 0.00114218323668226 0.299692868797389 0.059016393442623 0.000383285564734962 7 0.0119505890618372
CDK5 33 0.000985918502065933 0.312218778122188 0.0643939393939394 0.000227849306884058 8 0.022809450637252
CDC37 156 0.00712469656539376 0.354779150688823 0.0272125723738627 0.000809871904579794 7 0.213417604160773
CDC20 14 4.21687917149098e-05 0.268123564390443 0.230769230769231 9.39188511420051e-05 8 0.00411163106942101
CD2 5 6.54755814092244e-06 0.271138608488006 0.2 3.84348576963864e-05 8 0.00355163449829759
CCNH 39 0.000706925673540069 0.314593723238124 0.067476383265857 0.000207065660602111 8 0.0598963231184559
CALM1 50 0.00217118367073935 0.330711997246273 0.0277551020408163 0.000317869886322759 8 0.0388816856947278
CAB39 10 0.000188237022408875 0.275735699935978 0.0666666666666667 7.08428038622871e-05 9 0.0117021914353385
BAG3 76 0.00180488545608446 0.33504117599721 0.0259649122807018 0.000369391977894449 7 0.114544608674605
ATG13 12 7.37254220616503e-05 0.270697876029476 0.181818181818182 8.07890718398676e-05 8 0.00331631042179524
ARNT 4 0.00015808094751764 0.230937060868279 0 4.90993500490653e-05 9 0.000272210903188276
ARHGDIA 5 2.30280946154521e-05 0.255764426424213 0 4.73125041112513e-05 8 0.00117088346318478
ACTN4 19 0.000776405682357608 0.31739981194887 0.0584795321637427 0.000130515137771781 8 0.0326586835509435
SF1 20 8.9370265947601e-05 0.305692887561799 0.068421052631579 0.000102274220305147 8 0.0278821908587595
SETD7 8 3.6124682763484e-05 0.277167521026119 0.107142857142857 5.56400918694974e-05 8 0.00367890310805972
RRAGA 8 2.05532491044107e-05 0.25305940513818 0.535714285714286 6.1995039412457e-05 9 0.00142120144892214
RPA1 12 0.000290119600293966 0.276891017114481 0.106060606060606 9.40312953455895e-05 8 0.00975133147528435
RIPK2 8 8.99552270735048e-06 0.275948919623525 0.142857142857143 5.16703193920466e-05 8 0.00900363797806112
PSMC3 23 0.000243369254887543 0.31661934698844 0.158102766798419 0.000120660291533494 8 0.0281080942648354
PPP2CB 28 0.000328643933153992 0.278863113710956 0.132275132275132 0.000170640259874091 8 0.00709140480096641
PEX14 8 3.7202897351819e-05 0.261428332217013 0.0357142857142857 6.25741559354416e-05 8 0.00133863197662725
PDCL 5 9.25383309272553e-06 0.266983027660211 0 3.4723614284805e-05 8 0.00528266424811973
NFKB1 23 0.000600190571919448 0.294228504122497 0.0632411067193676 0.000167404140167466 8 0.0102314231668509
NEDD8 40 0.000489142732151345 0.297550981513246 0.0397435897435897 0.00025082476393746 8 0.0116721718641763
MCM4 10 3.77239233555015e-05 0.273346026743703 0.4 6.84737435581213e-05 7 0.0027571138814972
MAVS 24 0.000626960190089329 0.295530369353808 0.0398550724637681 0.000167831504601061 8 0.0143277865133588
MARK3 12 0.000327442984035289 0.289966104842829 0.257575757575758 9.32690405661795e-05 7 0.0100786820925706
MAPK14 20 0.000249859856945548 0.283734666060881 0.0263157894736842 0.000139122966287379 7 0.00769685207245305
IRF3 9 0.000140412821911157 0.265456632165097 0.0277777777777778 7.62883267396408e-05 8 0.00173024565608777
IFIT1 3 1.05095906266503e-06 0.239538184189329 0.666666666666667 3.11552680460796e-05 9 0.000417791666856255
HSD17B14 23 0.00034087513219038 0.308341768089466 0.0553359683794466 0.00012995343706961 8 0.0411831247514353
HIF1A 27 0.000528513640825017 0.288026934784614 0.0199430199430199 0.000182123343665751 8 0.00827394031798195
GABARAP 38 0.000690780304020758 0.285877775234607 0.0142247510668563 0.000256482148348344 8 0.00729974438285844
ERBB3 22 0.000233135905787378 0.301406887231835 0.142857142857143 0.000132773867184741 8 0.0164682107535416
DNM2 137 0.00342293560691139 0.340289886660854 0.017174753112924 0.000728673821886553 7 0.114938950131166
DHPS 16 0.00051396285215253 0.310125639370313 0.0416666666666667 0.000110599650423044 8 0.0348844110737443
COPS3 57 0.000934512381756351 0.321608816561953 0.0319548872180451 0.000289344303000585 8 0.0490836587089635
CNOT2 28 0.000529395572052227 0.291679316223348 0.0661375661375661 0.000161697485081831 8 0.024055942330928
CHAF1B 9 5.68786033262673e-06 0.270252726328544 0.694444444444444 6.12448948918183e-05 8 0.00324180290792148
CDC25B 5 2.50755853876605e-06 0.275547123190964 0.6 3.7196773790724e-05 8 0.00498622478626137
CD247 5 1.65879553841546e-06 0.240409600985506 0.1 4.22260617530372e-05 9 0.000492759575894266
CCNE2 6 3.73987312172242e-05 0.303405723169606 0.333333333333333 4.05818597311199e-05 8 0.0163158638924802
CBX8 90 0.00158580640586221 0.336921043403199 0.0619225967540574 0.000399590055142246 8 0.241938703817577
CACNA1C 4 0.000159409905052298 0.278062246760764 0 4.46411587304357e-05 8 0.00749401445753837
BIRC7 28 0.000154668280673645 0.310626974060534 0.0634920634920635 0.000130106746853616 8 0.0642408112557091
BIRC2 37 0.000522429980070013 0.316755851994624 0.045045045045045 0.000192050254856741 8 0.049045006051591
BCR 8 0.000121141043213622 0.287688586893931 0.142857142857143 6.1849252134557e-05 8 0.00575993397269833
BCL10 10 0.000193590750283624 0.286028350928619 0.0666666666666667 7.15061599450432e-05 8 0.0159291162270633
ASH2L 22 0.000319240649583489 0.293965354923743 0.103896103896104 0.000138522960288059 8 0.0109095974927788
TRAF1 182 0.00329482512114949 0.340698308783415 0.0156031813490377 0.000824069909495705 8 0.348845198084683
TNFAIP3 16 4.72087842598928e-05 0.308990153876602 0.15 7.95730813081244e-05 8 0.0367449423555934
SKI 5 3.57326826224115e-06 0.260740678886059 0.1 3.82925004543213e-05 8 0.00177184828730684
SAT1 43 0.00105419559070742 0.328701510605821 0.0210409745293466 0.000240401584725313 8 0.0838162860632764
RBM8A 14 5.69267984427354e-05 0.27449342886027 0.164835164835165 8.8057726960048e-05 8 0.00643842644390454
RAD51B 8 0.000336152880825576 0.285943223443223 0.214285714285714 8.46253909931174e-05 8 0.0136665048015831
PSMA1 144 0.00356260339658423 0.355921577567537 0.0313714063714064 0.000636783347464285 8 0.319726477477334
NCOA6 14 0.000188713418841109 0.268642591357839 0.263736263736264 0.000107155608532488 8 0.00228159124283065
MAFG 5 1.77532253316549e-05 0.247429624200162 0 4.77782964423646e-05 8 0.00143658826107551
KMT2A 11 6.95148894692937e-05 0.267022982362373 0.0363636363636364 8.19267465370742e-05 9 0.00239782558820018
IKZF3 138 0.0019584249245981 0.34526606772633 0.0501428118057759 0.000578967035461027 8 0.341876710765029
HSPB11 15 0.00010165139007498 0.263791501224973 0.4 9.60629109485074e-05 7 0.00326118170726638
FADD 21 0.000382807509631709 0.303531070013852 0.0333333333333333 0.000125200071596725 7 0.0194927875489687
CUL4A 28 0.000343744563789549 0.292738949046079 0.171957671957672 0.000175891358151402 8 0.00935340344252539
CNOT7 12 0.00031865312350921 0.292471607540101 0.181818181818182 9.14532485296816e-05 8 0.00887750155401087
CHAF1A 21 0.000262803680386712 0.301217894609912 0.0904761904761905 0.000114459180307148 7 0.0231192260823817
BLM 19 0.000673448669251496 0.276284646183113 0.0584795321637427 0.000159650986338127 7 0.00393546588005121
BBS4 23 0.000753503477864782 0.295111405146138 0.0237154150197628 0.000161449581607528 8 0.0145717709174977
ARFIP2 51 0.00125746853208681 0.336921043403199 0.0745098039215686 0.000246145537571492 7 0.0805543712108761
AIMP2 41 0.000874897321961956 0.332596596809842 0.0597560975609756 0.000197130515190774 8 0.0924245999559921
TSN 11 2.74735877870233e-05 0.310789290335424 0.0909090909090909 5.8935473421908e-05 8 0.0379913536198024
TSC2 8 7.38266895286108e-05 0.294631062464616 0.321428571428571 5.3040128734314e-05 8 0.01466404831761
